protein,TM_IF,TM_OF,max_tm,pc1,pc2,pc3,type
Lat1,0.9552,0.8903,0.9552,-11.719,-1.739,2.534,Model
Lat1,0.93,0.9328,0.9328,3.187,-5.245,-1.598,Model
Lat1,0.9413,0.8715,0.9413,-13.164,-2.808,5.707,Model
Lat1,0.9477,0.9046,0.9477,-7.6,-0.441,2.121,Model
Lat1,0.9049,0.9537,0.9537,17.124,-5.19,3.682,Model
Lat1,0.9206,0.9179,0.9206,5.983,-14.572,2.603,Model
Lat1,0.9149,0.9374,0.9374,11.041,4.376,9.616,Model
Lat1,0.8961,0.9588,0.9588,20.745,-1.37,0.511,Model
Lat1,0.9199,0.9322,0.9322,8.361,4.82,8.279,Model
Lat1,0.9364,0.9273,0.9364,1.715,-9.522,-1.248,Model
Lat1,0.9108,0.9182,0.9182,8.278,-11.435,6.968,Model
Lat1,0.9483,0.898,0.9483,-8.176,-4.608,7.922,Model
Lat1,0.9415,0.9124,0.9415,-2.222,-1.009,7.47,Model
Lat1,0.9253,0.8959,0.9253,-0.627,0.268,12.044,Model
Lat1,0.9198,0.9471,0.9471,10.718,-5.138,-0.79,Model
Lat1,0.917,0.9475,0.9475,10.735,-6.773,-3.272,Model
Lat1,0.949,0.9109,0.949,-6.29,-1.072,-3.023,Model
Lat1,0.9446,0.9109,0.9446,-4.123,0.316,0.827,Model
Lat1,0.9398,0.9218,0.9398,-0.767,-10.203,-2.839,Model
Lat1,0.9054,0.955,0.955,15.958,-7.196,-0.982,Model
Lat1,0.9138,0.9448,0.9448,12.741,-8.908,0.297,Model
Lat1,0.9068,0.9501,0.9501,16.197,-8.454,2.269,Model
Lat1,0.9431,0.897,0.9431,-7.48,-14.259,0.178,Model
Lat1,0.9277,0.9276,0.9277,4.493,-11.931,-2.179,Model
Lat1,0.8781,0.9725,0.9725,24.489,5.614,-6.419,Model
Lat1,0.9242,0.929,0.929,5.19,-11.594,3.638,Model
Lat1,0.9431,0.9018,0.9431,-6.627,-13.622,0.723,Model
Lat1,0.936,0.9285,0.936,2.371,-4.965,1.187,Model
Lat1,0.8838,0.9702,0.9702,23.583,1.352,-3.822,Model
Lat1,0.8902,0.9675,0.9675,21.234,2.081,-4.165,Model
Lat1,0.8988,0.9591,0.9591,19.246,-3.313,0.704,Model
Lat1,0.8838,0.9705,0.9705,24.38,-3.723,-4.067,Model
Lat1,0.8806,0.9722,0.9722,24.963,2.073,-5.987,Model
Lat1,0.8706,0.9732,0.9732,27.181,2.723,-5.678,Model
Lat1,0.939,0.9117,0.939,0.081,0.158,7.03,Model
Lat1,0.9029,0.95,0.95,17.465,5.175,3.456,Model
Lat1,0.9001,0.9588,0.9588,18.882,0.052,-0.287,Model
Lat1,0.9385,0.9191,0.9385,0.427,-6.142,1.79,Model
Lat1,0.9149,0.944,0.944,11.884,3.443,1.772,Model
Lat1,0.8997,0.9548,0.9548,18.774,4.133,2.637,Model
Lat1,0.9355,0.9223,0.9355,1.52,-0.411,2.756,Model
Lat1,0.9169,0.9378,0.9378,10.822,4.787,6.294,Model
Lat1,0.8953,0.9606,0.9606,20.849,2.971,-0.302,Model
Lat1,0.9084,0.9494,0.9494,16.088,2.597,1.884,Model
Lat1,0.9498,0.8934,0.9498,-11.242,1.76,-0.007,Model
Lat1,0.925,0.94,0.94,6.16,3.451,0.904,Model
Lat1,0.949,0.8989,0.949,-9.172,-0.879,-1.111,Model
Lat1,0.914,0.9537,0.9537,12.025,-4.973,-2.853,Model
Lat1,0.9349,0.9274,0.9349,1.249,1.969,0.619,Model
Lat1,0.958,0.8816,0.958,-15.96,-1.987,-0.527,Model
Lat1,0.9472,0.905,0.9472,-7.259,1.434,1.465,Model
Lat1,0.937,0.9281,0.937,0.566,-0.256,-1.64,Model
Lat1,0.8892,0.9657,0.9657,20.824,5.139,-2.49,Model
Lat1,0.9527,0.8958,0.9527,-10.444,0.032,0.08,Model
Lat1,0.9305,0.9276,0.9305,3.436,5.476,5.443,Model
Lat1,0.9109,0.9407,0.9407,11.714,7.481,6.338,Model
Lat1,0.9133,0.9416,0.9416,11.774,4.2,7.777,Model
Lat1,0.9259,0.9322,0.9322,6.061,5.828,5.888,Model
Lat1,0.9125,0.9512,0.9512,13.834,-3.677,1.604,Model
Lat1,0.8902,0.9627,0.9627,19.883,7.353,-1.7,Model
Lat1,0.9516,0.8978,0.9516,-10.11,0.373,2.607,Model
Lat1,0.9064,0.9532,0.9532,15.394,3.813,2.669,Model
Lat1,0.935,0.92,0.935,1.266,2.542,7.686,Model
Lat1,0.9254,0.9335,0.9335,6.575,5.302,6.007,Model
Lat1,0.8821,0.9679,0.9679,24.085,-4.122,-3.341,Model
Lat1,0.9464,0.9007,0.9464,-7.697,-6.046,-1.729,Model
Lat1,0.8952,0.96,0.96,19.468,-6.573,-0.128,Model
Lat1,0.9378,0.9189,0.9378,-0.131,-9.772,-2,Model
Lat1,0.8813,0.9688,0.9688,24.483,-2.768,-3.268,Model
Lat1,0.8927,0.9607,0.9607,20.178,-3.124,-0.036,Model
Lat1,0.925,0.9383,0.9383,7.61,-2.541,2.046,Model
Lat1,0.9276,0.9279,0.9279,4.374,-10.15,0.468,Model
Lat1,0.9109,0.9507,0.9507,14.307,-5.203,1.909,Model
Lat1,0.8985,0.9606,0.9606,19.382,-3.095,-1.381,Model
Lat1,0.8798,0.9676,0.9676,23.433,8.381,-4.984,Model
Lat1,0.8737,0.9718,0.9718,25.067,5.648,-6.171,Model
Lat1,0.8668,0.975,0.975,28.574,3.902,-7.361,Model
Lat1,0.8853,0.9703,0.9703,23.194,2.927,-4.618,Model
Lat1,0.8956,0.9572,0.9572,19.672,-8.031,0.359,Model
Lat1,0.913,0.9567,0.9567,12.554,0.228,-4.621,Model
Lat1,0.8784,0.9721,0.9721,25.339,0.571,-4.513,Model
Lat1,0.8856,0.9674,0.9674,23.467,-3.563,-2.401,Model
Lat1,0.8755,0.9708,0.9708,25.442,2.132,-4.635,Model
Lat1,0.8766,0.9732,0.9732,25.747,2.229,-5.776,Model
Lat1,0.918,0.9427,0.9427,11.005,5.362,1.621,Model
Lat1,0.9262,0.9325,0.9325,7.355,2.969,3.912,Model
Lat1,0.9192,0.937,0.937,9.161,6.533,3.392,Model
Lat1,0.9062,0.9502,0.9502,16.016,6.96,2.058,Model
Lat1,0.9357,0.9185,0.9357,1.118,3.049,5.064,Model
Lat1,0.9487,0.8873,0.9487,-10.454,0.839,4.047,Model
Lat1,0.924,0.9269,0.9269,6.501,5.287,6.99,Model
Lat1,0.9444,0.9025,0.9444,-5.152,3.051,3.83,Model
Lat1,0.9478,0.8913,0.9478,-9.13,3.995,2.962,Model
Lat1,0.9393,0.9133,0.9393,-1.521,2.137,3.301,Model
Lat1,0.9555,0.8828,0.9555,-15.136,0.234,-1.864,Model
Lat1,0.9539,0.8843,0.9539,-13.717,-1.017,-0.582,Model
Lat1,0.9557,0.8808,0.9557,-14.718,-0.633,0.188,Model
Lat1,0.9529,0.8877,0.9529,-12.435,-1.573,2.259,Model
Lat1,0.9458,0.9109,0.9458,-5.471,0.347,-1.604,Model
Lat1,0.9533,0.8869,0.9533,-13.35,-0.488,0.684,Model
Lat1,0.9466,0.9054,0.9466,-7.638,0.196,-3.751,Model
Lat1,0.9576,0.8811,0.9576,-16.344,-1.117,-3.052,Model
Lat1,0.9559,0.8827,0.9559,-14.565,0.901,0.295,Model
Lat1,0.9551,0.8818,0.9551,-14.719,-1.463,-0.763,Model
Lat1,0.9239,0.9322,0.9322,6.264,5.162,6.474,Model
Lat1,0.9117,0.9427,0.9427,12.234,7.283,5.839,Model
Lat1,0.9346,0.921,0.9346,0.4,3.938,5.32,Model
Lat1,0.8975,0.9548,0.9548,17.793,7.774,0.858,Model
Lat1,0.9367,0.9152,0.9367,-0.664,2.823,7.347,Model
Lat1,0.9458,0.9037,0.9458,-5.914,1.674,5.34,Model
Lat1,0.9088,0.9499,0.9499,13.729,7.16,1.761,Model
Lat1,0.915,0.9389,0.9389,10.694,7.728,6.938,Model
Lat1,0.9232,0.9292,0.9292,6.867,4.816,9.318,Model
Lat1,0.9177,0.9374,0.9374,9.898,4.683,8.023,Model
Lat1,0.8882,0.9653,0.9653,23.197,-2.93,-1.246,Model
Lat1,0.9425,0.915,0.9425,-3.15,-6.963,-4.576,Model
Lat1,0.9002,0.9587,0.9587,18.006,-2.228,0.818,Model
Lat1,0.9315,0.9348,0.9348,3.302,-5.511,-6.58,Model
Lat1,0.9354,0.9279,0.9354,1.028,-4.613,-6.921,Model
Lat1,0.9408,0.9024,0.9408,-5.616,-13.376,0.45,Model
Lat1,0.9432,0.9024,0.9432,-6.648,-11.428,-3.536,Model
Lat1,0.9345,0.9178,0.9345,-0.58,-11.629,-2.609,Model
Lat1,0.917,0.9473,0.9473,11.588,-6.868,-1.873,Model
Lat1,0.9516,0.8947,0.9516,-11.107,0.001,-0.987,Model
Lat1,0.8927,0.965,0.965,20.894,-0.459,-2.923,Model
Lat1,0.9295,0.9333,0.9333,3.853,4.896,-1.568,Model
Lat1,0.9236,0.946,0.946,7.726,-2.282,-4.85,Model
Lat1,0.8937,0.9649,0.9649,20.197,-0.27,-3.093,Model
Lat1,0.8966,0.9631,0.9631,18.982,3.297,-2.761,Model
Lat1,0.8857,0.9687,0.9687,22.995,1.452,-3.521,Model
Lat1,0.8882,0.9691,0.9691,22.055,2.522,-4.412,Model
Lat1,0.9084,0.9556,0.9556,15.156,-0.53,-0.145,Model
Lat1,0.8932,0.9642,0.9642,20.324,4.786,-2.875,Model
Lat1,0.8666,0.9771,0.9771,28.139,2.948,-8.114,Model
Lat1,0.9173,0.942,0.942,11.59,4.917,2.782,Model
Lat1,0.9283,0.9312,0.9312,5.443,4.462,1.709,Model
Lat1,0.9436,0.9045,0.9436,-4.796,3.725,2.014,Model
Lat1,0.9493,0.8964,0.9493,-8.259,3.906,1.642,Model
Lat1,0.9349,0.92,0.9349,1.474,4.809,3.508,Model
Lat1,0.9441,0.9028,0.9441,-4.881,4.953,3.421,Model
Lat1,0.9467,0.9017,0.9467,-6.363,5.016,1.259,Model
Lat1,0.9483,0.8904,0.9483,-9.407,3.746,2.434,Model
Lat1,0.9417,0.9121,0.9417,-2.399,3.668,1.279,Model
Lat1,0.9445,0.8961,0.9445,-6.724,4.709,4.335,Model
Lat1,0.9561,0.884,0.9561,-15.429,1.075,-4.627,Model
Lat1,0.9537,0.8955,0.9537,-11.463,-0.213,-4.587,Model
Lat1,0.9549,0.8916,0.9549,-13.007,0.404,-4.786,Model
Lat1,0.9574,0.8804,0.9574,-16.248,0.654,-2.955,Model
Lat1,0.9549,0.8879,0.9549,-14.127,1.548,-5.822,Model
Lat1,0.9528,0.8899,0.9528,-12.368,0.413,-1.349,Model
Lat1,0.957,0.8803,0.957,-15.955,0.747,-1.713,Model
Lat1,0.9507,0.9021,0.9507,-9.167,-1.052,-5.198,Model
Lat1,0.9572,0.878,0.9572,-16.662,-1.353,-2.719,Model
Lat1,0.9383,0.9253,0.9383,-2.223,0.422,-7.419,Model
Lat1,0.9532,0.8875,0.9532,-12.287,-0.326,3.124,Model
Lat1,0.95,0.8974,0.95,-9.124,0.78,3.573,Model
Lat1,0.9569,0.8773,0.9569,-16.045,-1.088,1.768,Model
Lat1,0.9488,0.8997,0.9488,-8.272,3.067,2.309,Model
Lat1,0.9527,0.8902,0.9527,-11.331,-0.709,3.291,Model
Lat1,0.9558,0.886,0.9558,-13.591,-0.605,3.02,Model
Lat1,0.9506,0.8979,0.9506,-9.545,2.858,0.987,Model
Lat1,0.9543,0.8853,0.9543,-13.38,-0.43,2.65,Model
Lat1,0.9464,0.9008,0.9464,-6.869,1.226,4.865,Model
Lat1,0.9475,0.9032,0.9475,-7.023,3.363,1.686,Model
Lat1,0.9578,0.8805,0.9578,-16.387,1.095,-1.936,Model
Lat1,0.9504,0.9054,0.9504,-7.811,0.482,-4.344,Model
Lat1,0.9579,0.8779,0.9579,-16.912,0.149,-1.563,Model
Lat1,0.9577,0.8781,0.9577,-16.912,-1.298,-0.951,Model
Lat1,0.9592,0.8747,0.9592,-18.139,-0.12,-1.788,Model
Lat1,0.9541,0.8866,0.9541,-13.483,-4.711,-2.415,Model
Lat1,0.9568,0.8848,0.9568,-15.156,1.783,-3.14,Model
Lat1,0.9595,0.8732,0.9595,-18.485,-0.032,-1.343,Model
Lat1,0.9488,0.9065,0.9488,-7.605,-2.821,-7.284,Model
Lat1,0.9611,0.8732,0.9611,-18.957,-1.892,-1.329,Model
Lat1,0.9442,0.9001,0.9442,-6.249,-7.886,-0.13,Model
Lat1,0.9035,0.952,0.952,14.828,9.846,-2.039,Model
Lat1,0.914,0.9578,0.9578,11.764,1.118,-6.572,Model
Lat1,0.8933,0.9626,0.9626,19.914,6.228,-2.887,Model
Lat1,0.9519,0.8964,0.9519,-10.699,4.383,-3.666,Model
Lat1,0.929,0.9396,0.9396,5.266,-0.208,-4.163,Model
Lat1,0.9435,0.906,0.9435,-4.851,-8.754,-0.826,Model
Lat1,0.9259,0.9414,0.9414,6.443,2.778,-3.105,Model
Lat1,0.8819,0.9704,0.9704,23.944,5.992,-5.213,Model
Lat1,0.9402,0.9186,0.9402,-1.907,-0.587,-3.892,Model
Lat1,0.9474,0.8979,0.9474,-7.381,3.767,0.932,Model
Lat1,0.9469,0.9007,0.9469,-6.984,4.815,0.422,Model
Lat1,0.9504,0.8939,0.9504,-9.344,4.179,-0.379,Model
Lat1,0.9471,0.8988,0.9471,-7.254,5.057,1.797,Model
Lat1,0.9435,0.9063,0.9435,-4.424,5.182,1.943,Model
Lat1,0.9495,0.8934,0.9495,-9.284,2.656,1.274,Model
Lat1,0.9459,0.9027,0.9459,-5.741,3.994,2.172,Model
Lat1,0.9459,0.9017,0.9459,-5.793,3.361,3.468,Model
Lat1,0.9511,0.8898,0.9511,-10.63,4.453,1.153,Model
Lat1,0.9352,0.9233,0.9352,1.973,4.114,2.478,Model
Lat1,0.955,0.8802,0.955,-16.064,0.225,-4.464,Model
Lat1,0.9572,0.8812,0.9572,-15.77,1.492,-2.553,Model
Lat1,0.9545,0.8881,0.9545,-13.371,0.473,-3.526,Model
Lat1,0.954,0.8938,0.954,-11.893,2.568,-2.859,Model
Lat1,0.9564,0.8874,0.9564,-14.85,4.191,-4.806,Model
Lat1,0.9577,0.8803,0.9577,-16.472,0.348,-2.695,Model
Lat1,0.9571,0.8836,0.9571,-15.059,2.016,-2.968,Model
Lat1,0.9557,0.886,0.9557,-14.675,2.091,-4.052,Model
Lat1,0.9542,0.8775,0.9542,-15.78,-0.928,-0.992,Model
Lat1,0.9563,0.8861,0.9563,-14.54,2.08,-3.905,Model
Lat1,0.9569,0.8868,0.9569,-13.822,0.158,1.254,Model
Lat1,0.9558,0.8854,0.9558,-14.001,-0.383,2.834,Model
Lat1,0.952,0.893,0.952,-10.393,-0.461,4.029,Model
Lat1,0.9494,0.9012,0.9494,-7.971,1.284,2.775,Model
Lat1,0.957,0.8797,0.957,-15.9,-1.944,2.537,Model
Lat1,0.9568,0.8881,0.9568,-13.028,0.319,1.858,Model
Lat1,0.9564,0.8859,0.9564,-13.681,1.184,0.996,Model
Lat1,0.95,0.9015,0.95,-7.998,3.276,0.828,Model
Lat1,0.953,0.8937,0.953,-11.015,2.773,0.191,Model
Lat1,0.9564,0.8824,0.9564,-14.746,-1.601,3.003,Model
Lat1,0.9588,0.8785,0.9588,-16.925,-1.685,-2.209,Model
Lat1,0.9597,0.8792,0.9597,-17.164,0.343,-2.696,Model
Lat1,0.9554,0.8889,0.9554,-14.061,2.371,-4.89,Model
Lat1,0.9594,0.8797,0.9594,-17.126,-0.218,-2.842,Model
Lat1,0.9588,0.8785,0.9588,-17.235,-0.786,-2.785,Model
Lat1,0.9611,0.8758,0.9611,-18.46,0.221,-2.156,Model
Lat1,0.9577,0.8805,0.9577,-16.494,2.358,-3.274,Model
Lat1,0.9607,0.8748,0.9607,-18.506,-0.163,-2.274,Model
Lat1,0.9591,0.8799,0.9591,-17.064,-1.205,-2.916,Model
Lat1,0.9608,0.8744,0.9608,-18.64,-0.042,-2.168,Model
Lat1,0.9404,0.9074,0.9404,-5.655,9.75,-4.637,Model
Lat1,0.9439,0.9056,0.9439,-7.16,8.272,-5.727,Model
Lat1,0.949,0.9012,0.949,-8.235,3.239,-2.258,Model
Lat1,0.9496,0.897,0.9496,-10.264,5.869,-4.761,Model
Lat1,0.9495,0.9026,0.9495,-8.404,3.391,-3.862,Model
Lat1,0.9445,0.9093,0.9445,-4.982,3.394,-2.453,Model
Lat1,0.9353,0.9304,0.9353,1.533,-0.727,-5.266,Model
Lat1,0.9547,0.8836,0.9547,-13.758,0.167,0.984,Model
Lat1,0.9521,0.8893,0.9521,-11.803,0.713,1.049,Model
Lat1,0.9512,0.8915,0.9512,-12.119,4.397,-3.594,Model
Lat1,0.9423,0.9127,0.9423,-2.848,4.277,1.208,Model
Lat1,0.9481,0.9001,0.9481,-7.169,3.81,0.766,Model
Lat1,0.9339,0.9279,0.9339,2.74,3.473,0.344,Model
Lat1,0.934,0.9221,0.934,1.774,5.929,2.757,Model
Lat1,0.9344,0.9245,0.9344,1.939,5.532,1.375,Model
Lat1,0.9331,0.9274,0.9331,3.052,4.38,1.752,Model
Lat1,0.9507,0.8933,0.9507,-9.834,4.114,0.51,Model
Lat1,0.9455,0.9066,0.9455,-5.086,4.366,1.173,Model
Lat1,0.94,0.9141,0.94,-2.062,5.826,1.536,Model
Lat1,0.9464,0.9006,0.9464,-6.829,5.467,1.409,Model
Lat1,0.958,0.8768,0.958,-17.398,1.891,-3.314,Model
Lat1,0.9562,0.8832,0.9562,-15.461,2.602,-4.846,Model
Lat1,0.9563,0.8759,0.9563,-17.061,-0.188,-1.663,Model
Lat1,0.9571,0.8853,0.9571,-15.252,2.81,-4.637,Model
Lat1,0.9539,0.8873,0.9539,-14.214,3.323,-5.212,Model
Lat1,0.9571,0.8783,0.9571,-16.961,0.865,-3.379,Model
Lat1,0.9555,0.884,0.9555,-15.539,1.839,-5.286,Model
Lat1,0.954,0.8889,0.954,-14.126,3.317,-5.211,Model
Lat1,0.9561,0.8791,0.9561,-15.76,0.106,-0.95,Model
Lat1,0.9583,0.8793,0.9583,-16.657,1.37,-2.668,Model
Lat1,0.9542,0.8834,0.9542,-14.038,-1.911,2.864,Model
Lat1,0.95,0.8983,0.95,-8.998,1.243,2.473,Model
Lat1,0.9524,0.8907,0.9524,-11.802,1.724,0.416,Model
Lat1,0.957,0.8796,0.957,-15.699,-1.779,2.398,Model
Lat1,0.9572,0.8814,0.9572,-15.536,-0.042,0.771,Model
Lat1,0.9437,0.9085,0.9437,-4.645,3.66,1.237,Model
Lat1,0.9557,0.8825,0.9557,-14.621,-0.477,2.376,Model
Lat1,0.9504,0.8929,0.9504,-10.163,1.213,3.009,Model
Lat1,0.9551,0.8862,0.9551,-13.195,0.111,1.788,Model
Lat1,0.9562,0.8841,0.9562,-14.669,-0.672,1.514,Model
Lat1,0.9602,0.8739,0.9602,-18.791,-0.798,-2.447,Model
Lat1,0.9603,0.8738,0.9603,-18.401,-0.828,-1.155,Model
Lat1,0.9595,0.879,0.9595,-17.06,1.094,-2.326,Model
Lat1,0.9606,0.8752,0.9606,-18.358,0.994,-1.904,Model
Lat1,0.9587,0.8811,0.9587,-17.095,2.615,-5.407,Model
Lat1,0.9604,0.8748,0.9604,-18.682,0.445,-2.298,Model
Lat1,0.9618,0.8745,0.9618,-18.916,-0.627,-2.484,Model
Lat1,0.9612,0.8703,0.9612,-19.784,-0.975,-1.567,Model
Lat1,0.9603,0.8758,0.9603,-18.151,0.47,-2.526,Model
Lat1,0.9604,0.8729,0.9604,-19.149,-0.415,-2.11,Model
Lat1,0.9314,0.9358,0.9358,4.371,-1.723,-4.305,Model
Lat1,0.9539,0.8875,0.9539,-12.563,1.545,0.127,Model
Lat1,0.9388,0.9217,0.9388,-0.845,2.624,-2.694,Model
Lat1,0.9511,0.8948,0.9511,-10.268,2.112,-0.241,Model
Lat1,0.9459,0.9116,0.9459,-5.329,1.488,-4.764,Model
Lat1,0.9419,0.9181,0.9419,-2.96,2.296,-5.017,Model
Lat1,0.9542,0.8888,0.9542,-12.673,2.959,-0.195,Model
Lat1,0.9425,0.9138,0.9425,-3.825,-3.619,-4.767,Model
Lat1,0.9366,0.9238,0.9366,0.108,-1.698,-3.848,Model
Lat1,0.9448,0.9092,0.9448,-5.366,1.517,-3.003,Model
MCT1,0.9436,0.8876,0.9436,24.346,14.962,-1.753,Model
MCT1,0.9758,0.8037,0.9758,-4.49,0.623,0.838,Model
MCT1,0.8411,0.9683,0.9683,55.597,0.303,-0.462,Model
MCT1,0.9395,0.8985,0.9395,26.843,11.91,-1.551,Model
MCT1,0.927,0.9113,0.927,31.696,14.056,-1.395,Model
MCT1,0.9729,0.846,0.9729,10.266,10.536,-2.834,Model
MCT1,0.9763,0.8048,0.9763,-2.638,0.857,-1.324,Model
MCT1,0.7679,0.9715,0.9715,78.383,-21.554,1.356,Model
MCT1,0.749,0.9625,0.9625,81.382,-24.83,1.294,Model
MCT1,0.9759,0.8056,0.9759,-3.761,-1.972,-1.365,Model
MCT1,0.9543,0.8707,0.9543,19.434,14.023,-5.111,Model
MCT1,0.7772,0.9727,0.9727,75.575,-21.187,0.73,Model
MCT1,0.9332,0.8828,0.9332,25.069,17.743,-4.179,Model
MCT1,0.876,0.9517,0.9517,47.678,7.715,-0.886,Model
MCT1,0.9665,0.8573,0.9665,13.965,11.223,-2.325,Model
MCT1,0.9635,0.858,0.9635,14.355,12.4,-0.719,Model
MCT1,0.9226,0.8962,0.9226,29.365,19.12,-0.775,Model
MCT1,0.7745,0.9789,0.9789,73.387,-17.541,2.335,Model
MCT1,0.9675,0.8245,0.9675,4.668,-3.884,-7.229,Model
MCT1,0.9252,0.9077,0.9252,31.239,15.5,-0.577,Model
MCT1,0.979,0.7984,0.979,-5.663,-0.827,-2.124,Model
MCT1,0.9612,0.8536,0.9612,14.449,13.238,-4.092,Model
MCT1,0.879,0.9583,0.9583,46.662,-0.395,-1.095,Model
MCT1,0.9392,0.8822,0.9392,23.372,18.573,-2.126,Model
MCT1,0.9762,0.8019,0.9762,-5.404,-1.238,0.475,Model
MCT1,0.9483,0.8785,0.9483,21.378,15.958,-2.156,Model
MCT1,0.9739,0.7877,0.9739,-10.244,-5.412,-3.441,Model
MCT1,0.9608,0.8714,0.9608,17.689,10.183,-2.489,Model
MCT1,0.8172,0.9845,0.9845,62.576,-8.031,-0.269,Model
MCT1,0.9482,0.876,0.9482,20.398,14.428,-1.804,Model
MCT1,0.9531,0.8832,0.9531,22.449,12.505,-3.966,Model
MCT1,0.9631,0.8375,0.9631,9.085,10.362,2.535,Model
MCT1,0.7779,0.9802,0.9802,74.577,-17.185,1.367,Model
MCT1,0.7768,0.9769,0.9769,75.336,-19.468,0.987,Model
MCT1,0.9748,0.8048,0.9748,-3.224,2.688,-0.956,Model
MCT1,0.9244,0.903,0.9244,30.041,17.859,-0.006,Model
MCT1,0.956,0.869,0.956,18.528,15.754,-2.652,Model
MCT1,0.9266,0.8999,0.9266,29.286,17.112,-0.293,Model
MCT1,0.8586,0.9626,0.9626,51.667,3.713,-0.135,Model
MCT1,0.9432,0.8728,0.9432,21.908,18.204,-3.93,Model
MCT1,0.9506,0.8801,0.9506,21.201,14.755,-1.648,Model
MCT1,0.8353,0.9802,0.9802,58.374,-8.425,-1.199,Model
MCT1,0.9771,0.8108,0.9771,-2.532,1.112,1.1,Model
MCT1,0.9468,0.8873,0.9468,24.279,14.438,-2.62,Model
MCT1,0.979,0.8189,0.979,2.013,3.496,-3.1,Model
MCT1,0.9092,0.9091,0.9092,34.132,17.978,-0.905,Model
MCT1,0.9398,0.902,0.9398,27.174,10.698,-0.995,Model
MCT1,0.8002,0.9818,0.9818,67.873,-11.285,0.058,Model
MCT1,0.7709,0.9784,0.9784,73.128,-17.82,0.054,Model
MCT1,0.9751,0.8133,0.9751,-0.985,1.403,2.931,Model
MCT1,0.9769,0.8033,0.9769,-3.756,-0.515,-1.056,Model
MCT1,0.9293,0.8943,0.9293,27.758,18.123,-1.986,Model
MCT1,0.9757,0.8067,0.9757,-4.004,-0.251,-0.303,Model
MCT1,0.9746,0.8043,0.9746,-3.986,-0.412,1.072,Model
MCT1,0.9779,0.8016,0.9779,-6.059,-1.031,-0.621,Model
MCT1,0.9762,0.799,0.9762,-6.79,-1.892,-2.089,Model
MCT1,0.9782,0.8029,0.9782,-4.547,0.071,0.328,Model
MCT1,0.9647,0.8535,0.9647,11.704,11.333,-0.238,Model
MCT1,0.9764,0.8008,0.9764,-6.059,-2.868,-0.154,Model
MCT1,0.9049,0.9209,0.9209,37.273,15.616,-0.937,Model
MCT1,0.9689,0.787,0.9689,-10.631,-3.552,1.599,Model
MCT1,0.9768,0.8044,0.9768,-4.541,-0.335,0.744,Model
MCT1,0.9702,0.7988,0.9702,-6.891,-1.865,2.156,Model
MCT1,0.9746,0.8065,0.9746,-3.639,-0.528,-0.531,Model
MCT1,0.9728,0.7974,0.9728,-7.3,-1.822,2.295,Model
MCT1,0.9771,0.8116,0.9771,-1.028,2.536,-0.976,Model
MCT1,0.7926,0.9824,0.9824,70.304,-14.181,1.019,Model
MCT1,0.9735,0.8024,0.9735,-5.016,-0.949,2.757,Model
MCT1,0.9756,0.8034,0.9756,-5.979,-1.831,0.527,Model
MCT1,0.9744,0.8038,0.9744,-5.005,-1.643,0.991,Model
MCT1,0.9536,0.8691,0.9536,17.622,14.234,-0.882,Model
MCT1,0.977,0.8016,0.977,-5.753,-0.709,0.087,Model
MCT1,0.9725,0.7999,0.9725,-6.613,-4.348,0.208,Model
MCT1,0.9773,0.802,0.9773,-5.308,-1.584,-1.509,Model
MCT1,0.9741,0.8389,0.9741,7.483,5.695,-1.762,Model
MCT1,0.9745,0.7983,0.9745,-6.784,-0.651,1.634,Model
MCT1,0.9713,0.7938,0.9713,-7.786,-3.105,1.976,Model
MCT1,0.9775,0.7983,0.9775,-7.133,-1.928,-0.904,Model
MCT1,0.9559,0.8682,0.9559,17.515,13.194,-1.336,Model
MCT1,0.9752,0.8031,0.9752,-5.503,-3.004,0.525,Model
MCT1,0.9757,0.8056,0.9757,-2.801,1.243,2.288,Model
MCT1,0.9749,0.8035,0.9749,-5.214,-1.188,1.473,Model
MCT1,0.9722,0.8002,0.9722,-6.227,-0.404,3.703,Model
MCT1,0.9761,0.816,0.9761,0.046,-1.385,1.463,Model
MCT1,0.9752,0.7939,0.9752,-8.245,-2.955,-0.198,Model
MCT1,0.9743,0.8128,0.9743,-1.688,1.339,1.328,Model
MCT1,0.973,0.7999,0.973,-6.337,-1.432,0.583,Model
MCT1,0.9756,0.8053,0.9756,-2.752,0.589,0.086,Model
MCT1,0.9047,0.9411,0.9411,39.461,-1.214,-3.211,Model
MCT1,0.9724,0.8303,0.9724,4.296,3.906,2.143,Model
MCT1,0.9745,0.8003,0.9745,-5.204,-1.315,1.629,Model
MCT1,0.9762,0.8062,0.9762,-4.041,-0.176,-0.286,Model
MCT1,0.972,0.8073,0.972,-1.861,1.693,2.194,Model
MCT1,0.9743,0.8044,0.9743,-4.833,-0.735,0.752,Model
MCT1,0.9796,0.8072,0.9796,-3.514,0.527,-2.567,Model
MCT1,0.9769,0.8003,0.9769,-6.497,-0.758,0.16,Model
MCT1,0.974,0.8006,0.974,-6.322,-0.441,1.831,Model
MCT1,0.9658,0.8629,0.9658,14.002,3.562,0.648,Model
MCT1,0.9746,0.7961,0.9746,-7.924,-2.535,0.607,Model
MCT1,0.9756,0.7981,0.9756,-6.617,-1.442,-0.959,Model
MCT1,0.9746,0.8045,0.9746,-4.908,0.352,2.567,Model
