protein,tm_IF,tm_OF,nseq
MCT1 (with templates),0.9769,0.8049,512
ASCT2,0.8829,0.6902,1024
ASCT2,0.8793,0.692,1024
ASCT2,0.9099,0.6783,1024
ASCT2,0.6774,0.8996,1024
ASCT2,0.9092,0.6812,1024
ASCT2,0.8989,0.6852,1024
ASCT2,0.9016,0.6864,1024
ASCT2,0.6744,0.8947,1024
ASCT2,0.8952,0.6911,1024
ASCT2,0.6214,0.95,1024
ASCT2,0.6189,0.9551,1024
ASCT2,0.9041,0.6851,1024
ASCT2,0.6182,0.9517,1024
ASCT2,0.617,0.9544,1024
ASCT2,0.6257,0.949,1024
ASCT2,0.6224,0.9566,1024
ASCT2,0.6201,0.9549,1024
ASCT2,0.7098,0.8369,1024
ASCT2,0.9083,0.6848,1024
ASCT2,0.6214,0.9487,1024
ASCT2,0.8617,0.7007,1024
ASCT2,0.8029,0.7427,1024
ASCT2,0.8601,0.6975,1024
ASCT2,0.6174,0.954,1024
ASCT2,0.6604,0.9304,1024
ASCT2,0.6177,0.9488,1024
ASCT2,0.7238,0.8315,1024
ASCT2,0.9051,0.6869,1024
ASCT2,0.7099,0.8448,1024
ASCT2,0.8913,0.6911,1024
ASCT2,0.8425,0.7159,1024
ASCT2,0.6236,0.9513,1024
ASCT2,0.6214,0.9564,1024
ASCT2,0.8653,0.6964,1024
ASCT2,0.6127,0.9483,1024
ASCT2,0.8534,0.7166,1024
ASCT2,0.9049,0.6857,1024
ASCT2,0.9005,0.6856,1024
ASCT2,0.9024,0.6881,1024
ASCT2,0.9027,0.6839,1024
ASCT2,0.6261,0.9438,1024
ASCT2,0.7099,0.8351,1024
ASCT2,0.8808,0.6875,1024
ASCT2,0.8975,0.6859,1024
ASCT2,0.6205,0.9561,1024
ASCT2,0.8799,0.6907,1024
ASCT2,0.6427,0.9271,1024
ASCT2,0.8814,0.6949,1024
ASCT2,0.9133,0.6849,1024
ASCT2,0.7463,0.8088,1024
MCT1 (without templates),0.9741,0.8018,1024
MCT1 (without templates),0.9754,0.8038,1024
MCT1 (without templates),0.9751,0.8029,1024
MCT1 (without templates),0.9752,0.8058,1024
MCT1 (without templates),0.9759,0.8035,1024
MCT1 (without templates),0.9751,0.8039,1024
MCT1 (without templates),0.9776,0.8024,1024
MCT1 (without templates),0.9779,0.8011,1024
MCT1 (without templates),0.9734,0.803,1024
MCT1 (without templates),0.9744,0.8036,1024
MCT1 (without templates),0.9731,0.8053,1024
MCT1 (without templates),0.9763,0.8076,1024
MCT1 (without templates),0.9741,0.811,1024
MCT1 (without templates),0.975,0.8088,1024
MCT1 (without templates),0.977,0.7996,1024
MCT1 (without templates),0.9764,0.8056,1024
MCT1 (without templates),0.9741,0.8073,1024
MCT1 (without templates),0.9754,0.8085,1024
MCT1 (without templates),0.9719,0.803,1024
MCT1 (without templates),0.9775,0.8045,1024
MCT1 (without templates),0.9747,0.8116,1024
MCT1 (without templates),0.9723,0.8021,1024
MCT1 (without templates),0.974,0.8088,1024
MCT1 (without templates),0.9769,0.8096,1024
MCT1 (without templates),0.9722,0.8017,1024
MCT1 (without templates),0.975,0.8,1024
MCT1 (without templates),0.9763,0.8084,1024
MCT1 (without templates),0.9757,0.807,1024
MCT1 (without templates),0.9769,0.8026,1024
MCT1 (without templates),0.9745,0.8117,1024
MCT1 (without templates),0.9782,0.8019,1024
MCT1 (without templates),0.9775,0.8032,1024
MCT1 (without templates),0.9778,0.8015,1024
MCT1 (without templates),0.9776,0.802,1024
MCT1 (without templates),0.9775,0.7983,1024
MCT1 (without templates),0.9784,0.803,1024
MCT1 (without templates),0.976,0.8104,1024
MCT1 (without templates),0.9733,0.7994,1024
MCT1 (without templates),0.9771,0.8063,1024
MCT1 (without templates),0.978,0.804,1024
MCT1 (without templates),0.9759,0.805,1024
MCT1 (without templates),0.9746,0.7964,1024
MCT1 (without templates),0.978,0.8056,1024
MCT1 (without templates),0.9779,0.808,1024
MCT1 (without templates),0.9709,0.7993,1024
MCT1 (without templates),0.9781,0.8033,1024
MCT1 (without templates),0.9787,0.8023,1024
MCT1 (without templates),0.9774,0.8005,1024
MCT1 (without templates),0.9763,0.8021,1024
MCT1 (without templates),0.9779,0.8025,1024
STP10,0.9198,0.9199,1024
STP10,0.9162,0.9215,1024
STP10,0.9177,0.9219,1024
STP10,0.9112,0.9266,1024
STP10,0.9299,0.9111,1024
STP10,0.9488,0.8947,1024
STP10,0.9218,0.9205,1024
STP10,0.9088,0.9286,1024
STP10,0.9393,0.9025,1024
STP10,0.9167,0.9212,1024
STP10,0.9052,0.9329,1024
STP10,0.9143,0.9244,1024
STP10,0.9326,0.91,1024
STP10,0.9546,0.8863,1024
STP10,0.9256,0.915,1024
STP10,0.9249,0.9167,1024
STP10,0.9229,0.917,1024
STP10,0.9297,0.9127,1024
STP10,0.9129,0.9267,1024
STP10,0.9222,0.9197,1024
STP10,0.9542,0.8854,1024
STP10,0.9505,0.8934,1024
STP10,0.9515,0.8915,1024
STP10,0.9585,0.8814,1024
STP10,0.9421,0.9007,1024
STP10,0.9518,0.889,1024
STP10,0.9404,0.9017,1024
STP10,0.9619,0.8774,1024
STP10,0.9445,0.8993,1024
STP10,0.9528,0.8892,1024
STP10,0.9523,0.8878,1024
STP10,0.9523,0.8897,1024
STP10,0.9617,0.8761,1024
STP10,0.95,0.895,1024
STP10,0.9269,0.9142,1024
STP10,0.955,0.8868,1024
STP10,0.9507,0.8913,1024
STP10,0.9542,0.8884,1024
STP10,0.94,0.903,1024
STP10,0.9135,0.9242,1024
STP10,0.9468,0.8972,1024
STP10,0.9401,0.9042,1024
STP10,0.9123,0.9254,1024
STP10,0.9255,0.9165,1024
STP10,0.96,0.8797,1024
STP10,0.9471,0.8967,1024
STP10,0.9479,0.8959,1024
STP10,0.9652,0.8712,1024
STP10,0.9478,0.8946,1024
STP10,0.9491,0.8925,1024
ZnT8,0.839,0.8541,1024
ZnT8,0.8603,0.8388,1024
ZnT8,0.8397,0.8555,1024
ZnT8,0.815,0.8568,1024
ZnT8,0.8132,0.8576,1024
ZnT8,0.8231,0.8544,1024
ZnT8,0.8528,0.8476,1024
ZnT8,0.8289,0.8588,1024
ZnT8,0.8137,0.8566,1024
ZnT8,0.8357,0.8509,1024
ZnT8,0.8405,0.8489,1024
ZnT8,0.844,0.8602,1024
ZnT8,0.8105,0.8557,1024
ZnT8,0.8646,0.8328,1024
ZnT8,0.8488,0.8501,1024
ZnT8,0.7944,0.852,1024
ZnT8,0.8269,0.8577,1024
ZnT8,0.808,0.8549,1024
ZnT8,0.8429,0.8458,1024
ZnT8,0.8455,0.8426,1024
ZnT8,0.888,0.8258,1024
ZnT8,0.8473,0.8539,1024
ZnT8,0.8505,0.8531,1024
ZnT8,0.8045,0.8578,1024
ZnT8,0.8211,0.8542,1024
ZnT8,0.8234,0.8578,1024
ZnT8,0.8214,0.8539,1024
ZnT8,0.8265,0.8582,1024
ZnT8,0.8149,0.8599,1024
ZnT8,0.8377,0.8553,1024
ZnT8,0.8371,0.8598,1024
ZnT8,0.8078,0.85,1024
ZnT8,0.8414,0.8605,1024
ZnT8,0.8143,0.8561,1024
ZnT8,0.8379,0.8499,1024
ZnT8,0.8553,0.85,1024
ZnT8,0.8142,0.8522,1024
ZnT8,0.8394,0.8458,1024
ZnT8,0.8309,0.854,1024
ZnT8,0.8329,0.8527,1024
ZnT8,0.8469,0.8499,1024
ZnT8,0.8369,0.8552,1024
ZnT8,0.8269,0.8543,1024
ZnT8,0.84,0.8507,1024
ZnT8,0.8534,0.8413,1024
ZnT8,0.8349,0.8598,1024
ZnT8,0.8543,0.8425,1024
ZnT8,0.8453,0.8473,1024
ZnT8,0.8283,0.8531,1024
ZnT8,0.8131,0.858,1024
Lat1,0.9557,0.8847,1024
Lat1,0.9597,0.8778,1024
Lat1,0.9588,0.8771,1024
Lat1,0.9571,0.8823,1024
Lat1,0.9564,0.8863,1024
Lat1,0.9554,0.8875,1024
Lat1,0.9594,0.8783,1024
Lat1,0.9577,0.879,1024
Lat1,0.9572,0.8799,1024
Lat1,0.9607,0.8733,1024
Lat1,0.9577,0.8791,1024
Lat1,0.955,0.879,1024
Lat1,0.9545,0.887,1024
Lat1,0.9588,0.8771,1024
Lat1,0.9611,0.8743,1024
Lat1,0.954,0.8927,1024
Lat1,0.949,0.9002,1024
Lat1,0.957,0.8786,1024
Lat1,0.9459,0.9019,1024
Lat1,0.9459,0.9009,1024
Lat1,0.9568,0.887,1024
Lat1,0.9496,0.8958,1024
Lat1,0.9439,0.9043,1024
Lat1,0.95,0.9006,1024
Lat1,0.9495,0.8924,1024
Lat1,0.9435,0.9055,1024
Lat1,0.9564,0.8848,1024
Lat1,0.9404,0.9063,1024
Lat1,0.9495,0.9015,1024
Lat1,0.952,0.8923,1024
Lat1,0.9474,0.8969,1024
Lat1,0.9469,0.8996,1024
Lat1,0.9494,0.9002,1024
Lat1,0.9445,0.9084,1024
Lat1,0.9547,0.8824,1024
Lat1,0.9558,0.8844,1024
Lat1,0.9471,0.8981,1024
Lat1,0.9504,0.893,1024
Lat1,0.9569,0.8857,1024
Lat1,0.9353,0.9298,1024
Lat1,0.9521,0.8884,1024
Lat1,0.9512,0.8903,1024
Lat1,0.9352,0.923,1024
Lat1,0.9511,0.889,1024
Lat1,0.953,0.8926,1024
Lat1,0.9564,0.8814,1024
Lat1,0.9591,0.8785,1024
Lat1,0.9608,0.873,1024
Lat1,0.9542,0.8764,1024
Lat1,0.9563,0.8848,1024
MCT1 (with templates),0.9785,0.8066,1024
MCT1 (with templates),0.9758,0.8009,1024
MCT1 (with templates),0.9746,0.8039,1024
MCT1 (with templates),0.9749,0.8021,1024
MCT1 (with templates),0.9759,0.8102,1024
MCT1 (with templates),0.9749,0.7976,1024
MCT1 (with templates),0.9747,0.808,1024
MCT1 (with templates),0.9782,0.8064,1024
MCT1 (with templates),0.9743,0.8004,1024
MCT1 (with templates),0.9756,0.8107,1024
MCT1 (with templates),0.9763,0.8073,1024
MCT1 (with templates),0.9757,0.8108,1024
MCT1 (with templates),0.9748,0.7967,1024
MCT1 (with templates),0.9745,0.7991,1024
MCT1 (with templates),0.9767,0.8023,1024
MCT1 (with templates),0.9751,0.8023,1024
MCT1 (with templates),0.9747,0.7996,1024
MCT1 (with templates),0.9744,0.8107,1024
MCT1 (with templates),0.977,0.8046,1024
MCT1 (with templates),0.9769,0.801,1024
MCT1 (with templates),0.9729,0.8099,1024
MCT1 (with templates),0.9751,0.8027,1024
MCT1 (with templates),0.9766,0.807,1024
MCT1 (with templates),0.9737,0.8028,1024
MCT1 (with templates),0.9764,0.7997,1024
MCT1 (with templates),0.973,0.7979,1024
MCT1 (with templates),0.9769,0.8023,1024
MCT1 (with templates),0.9775,0.7943,1024
MCT1 (with templates),0.9777,0.8035,1024
MCT1 (with templates),0.9777,0.7998,1024
MCT1 (with templates),0.9741,0.8008,1024
MCT1 (with templates),0.9774,0.8048,1024
MCT1 (with templates),0.9735,0.8046,1024
MCT1 (with templates),0.9768,0.8032,1024
MCT1 (with templates),0.9781,0.8057,1024
MCT1 (with templates),0.9761,0.8028,1024
MCT1 (with templates),0.978,0.8017,1024
MCT1 (with templates),0.9778,0.8036,1024
MCT1 (with templates),0.977,0.7993,1024
MCT1 (with templates),0.9709,0.805,1024
MCT1 (with templates),0.9763,0.8063,1024
MCT1 (with templates),0.9735,0.8109,1024
MCT1 (with templates),0.9775,0.8001,1024
MCT1 (with templates),0.974,0.81,1024
MCT1 (with templates),0.9753,0.8085,1024
MCT1 (with templates),0.9736,0.804,1024
MCT1 (with templates),0.9759,0.7998,1024
MCT1 (with templates),0.9774,0.8056,1024
MCT1 (with templates),0.9771,0.7991,1024
MCT1 (with templates),0.9753,0.7995,1024
ASCT2,0.6382,0.9467,5120
ASCT2,0.6333,0.9526,5120
ASCT2,0.6172,0.9568,5120
ASCT2,0.6537,0.9404,5120
ASCT2,0.622,0.9554,5120
ASCT2,0.6394,0.9476,5120
ASCT2,0.8913,0.6892,5120
ASCT2,0.6602,0.9343,5120
ASCT2,0.6256,0.9499,5120
ASCT2,0.6883,0.8836,5120
ASCT2,0.9042,0.6818,5120
ASCT2,0.6348,0.9388,5120
ASCT2,0.6375,0.9496,5120
ASCT2,0.8897,0.6896,5120
ASCT2,0.6153,0.9543,5120
ASCT2,0.619,0.9568,5120
ASCT2,0.6147,0.9533,5120
ASCT2,0.7094,0.8374,5120
ASCT2,0.62,0.956,5120
ASCT2,0.7403,0.8122,5120
ASCT2,0.8932,0.6847,5120
ASCT2,0.6221,0.9508,5120
ASCT2,0.8461,0.712,5120
ASCT2,0.6197,0.9516,5120
ASCT2,0.6337,0.9512,5120
ASCT2,0.6236,0.9542,5120
ASCT2,0.6212,0.9566,5120
ASCT2,0.6205,0.9458,5120
ASCT2,0.8898,0.687,5120
ASCT2,0.8938,0.6861,5120
ASCT2,0.6211,0.9413,5120
ASCT2,0.9071,0.6852,5120
ASCT2,0.6288,0.9493,5120
ASCT2,0.6152,0.9504,5120
ASCT2,0.6961,0.8563,5120
ASCT2,0.8999,0.6844,5120
ASCT2,0.9132,0.6845,5120
ASCT2,0.6131,0.9457,5120
ASCT2,0.6154,0.9444,5120
ASCT2,0.8462,0.7058,5120
ASCT2,0.6296,0.9407,5120
ASCT2,0.8328,0.7193,5120
ASCT2,0.6286,0.9519,5120
ASCT2,0.7707,0.7813,5120
ASCT2,0.9119,0.6819,5120
ASCT2,0.7267,0.8261,5120
ASCT2,0.6252,0.9357,5120
ASCT2,0.6199,0.953,5120
ASCT2,0.6206,0.9578,5120
ASCT2,0.62,0.9558,5120
MCT1 (without templates),0.9766,0.807,5120
MCT1 (without templates),0.9773,0.8071,5120
MCT1 (without templates),0.9783,0.8028,5120
MCT1 (without templates),0.977,0.8026,5120
MCT1 (without templates),0.9763,0.8104,5120
MCT1 (without templates),0.9774,0.801,5120
MCT1 (without templates),0.9784,0.7978,5120
MCT1 (without templates),0.9741,0.8107,5120
MCT1 (without templates),0.9743,0.8097,5120
MCT1 (without templates),0.9776,0.8006,5120
MCT1 (without templates),0.978,0.7977,5120
MCT1 (without templates),0.9734,0.7977,5120
MCT1 (without templates),0.9745,0.8061,5120
MCT1 (without templates),0.978,0.7991,5120
MCT1 (without templates),0.9786,0.8055,5120
MCT1 (without templates),0.9767,0.81,5120
MCT1 (without templates),0.9764,0.8076,5120
MCT1 (without templates),0.9757,0.8035,5120
MCT1 (without templates),0.9779,0.8061,5120
MCT1 (without templates),0.9749,0.8045,5120
MCT1 (without templates),0.9763,0.8051,5120
MCT1 (without templates),0.9738,0.8009,5120
MCT1 (without templates),0.9771,0.8067,5120
MCT1 (without templates),0.9771,0.8114,5120
MCT1 (without templates),0.9756,0.7996,5120
MCT1 (without templates),0.9763,0.8108,5120
MCT1 (without templates),0.9755,0.8124,5120
MCT1 (without templates),0.9764,0.8091,5120
MCT1 (without templates),0.9776,0.803,5120
MCT1 (without templates),0.974,0.8124,5120
MCT1 (without templates),0.9765,0.8069,5120
MCT1 (without templates),0.975,0.8079,5120
MCT1 (without templates),0.9759,0.8028,5120
MCT1 (without templates),0.9769,0.7983,5120
MCT1 (without templates),0.9782,0.8022,5120
MCT1 (without templates),0.9764,0.8055,5120
MCT1 (without templates),0.9746,0.8067,5120
MCT1 (without templates),0.9778,0.8,5120
MCT1 (without templates),0.9786,0.8014,5120
MCT1 (without templates),0.9782,0.7986,5120
MCT1 (without templates),0.9778,0.8004,5120
MCT1 (without templates),0.9781,0.7982,5120
MCT1 (without templates),0.9764,0.8065,5120
MCT1 (without templates),0.9781,0.8013,5120
MCT1 (without templates),0.9775,0.7969,5120
MCT1 (without templates),0.9734,0.8003,5120
MCT1 (without templates),0.9778,0.7986,5120
MCT1 (without templates),0.9783,0.804,5120
MCT1 (without templates),0.9754,0.8019,5120
MCT1 (without templates),0.9769,0.8087,5120
STP10,0.9554,0.8865,5120
STP10,0.9068,0.9298,5120
STP10,0.9361,0.9051,5120
STP10,0.9408,0.9025,5120
STP10,0.9556,0.8857,5120
STP10,0.9134,0.9265,5120
STP10,0.9028,0.9334,5120
STP10,0.9503,0.8929,5120
STP10,0.9032,0.9329,5120
STP10,0.9097,0.9289,5120
STP10,0.9065,0.9312,5120
STP10,0.9027,0.9327,5120
STP10,0.9121,0.9272,5120
STP10,0.9479,0.895,5120
STP10,0.9551,0.8862,5120
STP10,0.9096,0.929,5120
STP10,0.8994,0.9353,5120
STP10,0.9462,0.897,5120
STP10,0.9503,0.8922,5120
STP10,0.9565,0.8827,5120
STP10,0.9514,0.8917,5120
STP10,0.9109,0.9279,5120
STP10,0.9579,0.8824,5120
STP10,0.9509,0.8914,5120
STP10,0.9556,0.8864,5120
STP10,0.9454,0.8979,5120
STP10,0.9545,0.8876,5120
STP10,0.9547,0.8853,5120
STP10,0.9629,0.874,5120
STP10,0.9487,0.8946,5120
STP10,0.9528,0.8877,5120
STP10,0.9631,0.8736,5120
STP10,0.9469,0.8953,5120
STP10,0.9472,0.8964,5120
STP10,0.9619,0.8766,5120
STP10,0.9094,0.9284,5120
STP10,0.9076,0.9298,5120
STP10,0.958,0.882,5120
STP10,0.9394,0.9043,5120
STP10,0.9006,0.9356,5120
STP10,0.9094,0.9292,5120
STP10,0.9485,0.8924,5120
STP10,0.9622,0.8764,5120
STP10,0.904,0.9319,5120
STP10,0.9079,0.9307,5120
STP10,0.9556,0.8861,5120
STP10,0.9503,0.8918,5120
STP10,0.9048,0.9323,5120
STP10,0.9038,0.9326,5120
STP10,0.952,0.889,5120
ZnT8,0.8199,0.8561,5120
ZnT8,0.817,0.8575,5120
ZnT8,0.8232,0.8596,5120
ZnT8,0.8267,0.8671,5120
ZnT8,0.8176,0.8586,5120
ZnT8,0.8077,0.8545,5120
ZnT8,0.8094,0.8531,5120
ZnT8,0.8192,0.857,5120
ZnT8,0.8347,0.8536,5120
ZnT8,0.8144,0.8537,5120
ZnT8,0.8192,0.8529,5120
ZnT8,0.808,0.8519,5120
ZnT8,0.8276,0.8581,5120
ZnT8,0.8391,0.8473,5120
ZnT8,0.8294,0.8559,5120
ZnT8,0.8188,0.8548,5120
ZnT8,0.8248,0.855,5120
ZnT8,0.8192,0.8581,5120
ZnT8,0.819,0.8542,5120
ZnT8,0.8334,0.8551,5120
ZnT8,0.8159,0.8592,5120
ZnT8,0.8184,0.8563,5120
ZnT8,0.8215,0.8575,5120
ZnT8,0.8236,0.8556,5120
ZnT8,0.8271,0.8606,5120
ZnT8,0.811,0.8572,5120
ZnT8,0.8265,0.858,5120
ZnT8,0.8299,0.8587,5120
ZnT8,0.8435,0.8585,5120
ZnT8,0.8436,0.8555,5120
ZnT8,0.8375,0.8521,5120
ZnT8,0.8304,0.8526,5120
ZnT8,0.8489,0.8446,5120
ZnT8,0.8454,0.8431,5120
ZnT8,0.8379,0.8526,5120
ZnT8,0.8287,0.8502,5120
ZnT8,0.818,0.8564,5120
ZnT8,0.8243,0.8555,5120
ZnT8,0.8403,0.8513,5120
ZnT8,0.8385,0.849,5120
ZnT8,0.8422,0.85,5120
ZnT8,0.8281,0.8581,5120
ZnT8,0.8626,0.8377,5120
ZnT8,0.8342,0.8523,5120
ZnT8,0.8227,0.8582,5120
ZnT8,0.8469,0.8418,5120
ZnT8,0.8237,0.8533,5120
ZnT8,0.8434,0.8501,5120
ZnT8,0.8381,0.85,5120
ZnT8,0.8512,0.8434,5120
Lat1,0.9595,0.8776,5120
Lat1,0.9539,0.886,5120
Lat1,0.9571,0.8769,5120
Lat1,0.9606,0.8738,5120
Lat1,0.9603,0.8724,5120
Lat1,0.954,0.8876,5120
Lat1,0.9555,0.8827,5120
Lat1,0.9602,0.8725,5120
Lat1,0.9587,0.8797,5120
Lat1,0.9563,0.8747,5120
Lat1,0.9571,0.8839,5120
Lat1,0.9604,0.8733,5120
Lat1,0.9612,0.8688,5120
Lat1,0.9562,0.8819,5120
Lat1,0.958,0.8755,5120
Lat1,0.9618,0.873,5120
Lat1,0.9504,0.8922,5120
Lat1,0.9331,0.9272,5120
Lat1,0.9539,0.8863,5120
Lat1,0.9314,0.9355,5120
Lat1,0.9344,0.9241,5120
Lat1,0.9557,0.8815,5120
Lat1,0.9572,0.8802,5120
Lat1,0.9507,0.8922,5120
Lat1,0.9388,0.9212,5120
Lat1,0.9511,0.8938,5120
Lat1,0.9455,0.9057,5120
Lat1,0.9437,0.908,5120
Lat1,0.95,0.8976,5120
Lat1,0.934,0.9218,5120
Lat1,0.9425,0.9131,5120
Lat1,0.9542,0.8876,5120
Lat1,0.9339,0.9276,5120
Lat1,0.9542,0.8825,5120
Lat1,0.9524,0.8898,5120
Lat1,0.9423,0.912,5120
Lat1,0.9459,0.9107,5120
Lat1,0.9419,0.9173,5120
Lat1,0.9481,0.8991,5120
Lat1,0.957,0.8785,5120
Lat1,0.9366,0.9234,5120
Lat1,0.9448,0.9084,5120
Lat1,0.9551,0.8851,5120
Lat1,0.9562,0.8831,5120
Lat1,0.9464,0.8996,5120
Lat1,0.94,0.9133,5120
Lat1,0.9603,0.8744,5120
Lat1,0.9604,0.8715,5120
Lat1,0.9561,0.8779,5120
Lat1,0.9583,0.8779,5120
MCT1 (with templates),0.977,0.7995,5120
MCT1 (with templates),0.9773,0.7962,5120
MCT1 (with templates),0.9782,0.802,5120
MCT1 (with templates),0.9761,0.8061,5120
MCT1 (with templates),0.9772,0.7983,5120
MCT1 (with templates),0.9772,0.8004,5120
MCT1 (with templates),0.9786,0.8037,5120
MCT1 (with templates),0.9731,0.8072,5120
MCT1 (with templates),0.9774,0.7972,5120
MCT1 (with templates),0.9757,0.809,5120
MCT1 (with templates),0.9772,0.8021,5120
MCT1 (with templates),0.9753,0.8087,5120
MCT1 (with templates),0.9766,0.7957,5120
MCT1 (with templates),0.975,0.8051,5120
MCT1 (with templates),0.9755,0.796,5120
MCT1 (with templates),0.9757,0.8056,5120
MCT1 (with templates),0.978,0.7985,5120
MCT1 (with templates),0.978,0.8035,5120
MCT1 (with templates),0.9765,0.798,5120
MCT1 (with templates),0.975,0.8117,5120
MCT1 (with templates),0.9754,0.8083,5120
MCT1 (with templates),0.9747,0.8009,5120
MCT1 (with templates),0.9754,0.8082,5120
MCT1 (with templates),0.9785,0.7977,5120
MCT1 (with templates),0.9768,0.8086,5120
MCT1 (with templates),0.9784,0.7993,5120
MCT1 (with templates),0.9761,0.8086,5120
MCT1 (with templates),0.9773,0.8036,5120
MCT1 (with templates),0.9779,0.8015,5120
MCT1 (with templates),0.978,0.8023,5120
MCT1 (with templates),0.9777,0.8087,5120
MCT1 (with templates),0.978,0.796,5120
MCT1 (with templates),0.9774,0.8019,5120
MCT1 (with templates),0.9756,0.811,5120
MCT1 (with templates),0.9764,0.8088,5120
MCT1 (with templates),0.9743,0.8083,5120
MCT1 (with templates),0.9757,0.8033,5120
MCT1 (with templates),0.9767,0.809,5120
MCT1 (with templates),0.9763,0.8076,5120
MCT1 (with templates),0.9772,0.794,5120
MCT1 (with templates),0.9725,0.8098,5120
MCT1 (with templates),0.9777,0.7936,5120
MCT1 (with templates),0.9747,0.8027,5120
MCT1 (with templates),0.9779,0.8029,5120
MCT1 (with templates),0.9734,0.8123,5120
MCT1 (with templates),0.9778,0.8041,5120
MCT1 (with templates),0.9783,0.803,5120
MCT1 (with templates),0.9776,0.802,5120
MCT1 (with templates),0.9778,0.7992,5120
MCT1 (with templates),0.9781,0.8051,5120
PTH1R,0.8412,0.935,32
PTH1R,0.8785,0.8859,32
PTH1R,0.8088,0.8136,32
PTH1R,0.8946,0.8757,32
PTH1R,0.8875,0.8845,32
PTH1R,0.8436,0.8781,32
PTH1R,0.9013,0.8649,32
PTH1R,0.8782,0.8867,32
PTH1R,0.868,0.8833,32
PTH1R,0.8208,0.8364,32
PTH1R,0.8671,0.8587,32
PTH1R,0.8582,0.8876,32
PTH1R,0.8277,0.8893,32
PTH1R,0.8809,0.8504,32
PTH1R,0.8925,0.859,32
PTH1R,0.8537,0.8734,32
PTH1R,0.8844,0.8745,32
PTH1R,0.8194,0.8508,32
PTH1R,0.8339,0.8196,32
PTH1R,0.871,0.893,32
PTH1R,0.8899,0.87,32
PTH1R,0.8614,0.8901,32
PTH1R,0.8687,0.8995,32
PTH1R,0.8584,0.8943,32
PTH1R,0.8771,0.8837,32
PTH1R,0.8794,0.8755,32
PTH1R,0.8866,0.8831,32
PTH1R,0.7994,0.8611,32
PTH1R,0.8421,0.9034,32
PTH1R,0.8507,0.9124,32
PTH1R,0.8548,0.8694,32
PTH1R,0.8765,0.8961,32
PTH1R,0.7913,0.8749,32
PTH1R,0.8628,0.8952,32
PTH1R,0.8519,0.9065,32
PTH1R,0.8535,0.9029,32
PTH1R,0.8648,0.8879,32
PTH1R,0.8569,0.8977,32
PTH1R,0.8155,0.8236,32
PTH1R,0.8686,0.8984,32
PTH1R,0.8218,0.8171,32
PTH1R,0.8484,0.8681,32
PTH1R,0.8848,0.8773,32
PTH1R,0.8817,0.8827,32
PTH1R,0.8492,0.8572,32
PTH1R,0.8416,0.9271,32
PTH1R,0.9002,0.8612,32
PTH1R,0.8237,0.8121,32
PTH1R,0.891,0.8617,32
PTH1R,0.8899,0.8757,32
PTH1R,0.8247,0.9365,64
PTH1R,0.8614,0.9162,64
PTH1R,0.8755,0.891,64
PTH1R,0.8213,0.924,64
PTH1R,0.8358,0.9427,64
PTH1R,0.8377,0.9366,64
PTH1R,0.8328,0.9464,64
PTH1R,0.8315,0.9405,64
PTH1R,0.8877,0.8954,64
PTH1R,0.8283,0.9359,64
PTH1R,0.831,0.9444,64
PTH1R,0.8842,0.8862,64
PTH1R,0.872,0.9074,64
PTH1R,0.8446,0.93,64
PTH1R,0.8353,0.9358,64
PTH1R,0.8536,0.9082,64
PTH1R,0.8552,0.9106,64
PTH1R,0.8389,0.934,64
PTH1R,0.8337,0.9403,64
PTH1R,0.83,0.9335,64
PTH1R,0.8369,0.9126,64
PTH1R,0.8413,0.9515,64
PTH1R,0.8342,0.9408,64
PTH1R,0.8838,0.8982,64
PTH1R,0.8638,0.8993,64
PTH1R,0.8223,0.9393,64
PTH1R,0.8424,0.938,64
PTH1R,0.8291,0.9162,64
PTH1R,0.8849,0.9022,64
PTH1R,0.831,0.9383,64
PTH1R,0.8474,0.9397,64
PTH1R,0.8781,0.8955,64
PTH1R,0.8734,0.9066,64
PTH1R,0.9021,0.8821,64
PTH1R,0.8306,0.9375,64
PTH1R,0.8322,0.9471,64
PTH1R,0.8419,0.9033,64
PTH1R,0.8398,0.9093,64
PTH1R,0.8608,0.9054,64
PTH1R,0.8896,0.8943,64
PTH1R,0.8571,0.918,64
PTH1R,0.8724,0.9054,64
PTH1R,0.8914,0.8915,64
PTH1R,0.8722,0.9088,64
PTH1R,0.8844,0.8986,64
PTH1R,0.8738,0.8985,64
PTH1R,0.8755,0.905,64
PTH1R,0.8639,0.9065,64
PTH1R,0.8641,0.9249,64
PTH1R,0.8382,0.9031,64
PTH1R,0.8353,0.923,128
PTH1R,0.8582,0.9054,128
PTH1R,0.8354,0.9477,128
PTH1R,0.8455,0.9359,128
PTH1R,0.8242,0.9237,128
PTH1R,0.8458,0.9228,128
PTH1R,0.836,0.9469,128
PTH1R,0.8475,0.9164,128
PTH1R,0.8517,0.9421,128
PTH1R,0.8299,0.9438,128
PTH1R,0.8368,0.9461,128
PTH1R,0.8479,0.9317,128
PTH1R,0.839,0.9465,128
PTH1R,0.8558,0.9071,128
PTH1R,0.8258,0.9267,128
PTH1R,0.8334,0.945,128
PTH1R,0.8673,0.909,128
PTH1R,0.8457,0.917,128
PTH1R,0.8503,0.9272,128
PTH1R,0.8332,0.9358,128
PTH1R,0.8282,0.9263,128
PTH1R,0.8608,0.9172,128
PTH1R,0.8649,0.9109,128
